model,dataset_size,test_size,param_id,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy,precision,recall,f1,roc_auc,colsample_bytree,learning_rate,subsample,score
RandomForest,500,0.1,0,,sqrt,1.0,2.0,100,0.98,0.9615384615384616,1.0,0.9803921568627452,1.0,,,,0.982425339366516
RandomForest,1000,0.1,0,,sqrt,1.0,2.0,100,0.99,0.9803921568627452,1.0,0.99009900990099,0.9992,,,,0.9910281343428461
RandomForest,1500,0.1,3,,sqrt,1.0,5.0,100,0.98,1.0,0.96,0.979591836734694,0.9996444444444444,,,,0.9818419954648526
RandomForest,2000,0.1,12,10.0,sqrt,1.0,2.0,100,0.995,0.99009900990099,1.0,0.9950248756218906,0.9984,,,,0.9953672646667652
RandomForest,full,0.3,25,20.0,sqrt,1.0,2.0,200,0.9904166666666666,0.9908256880733946,0.99,0.9904126719466444,0.99938125,,,,0.9913103975320056
XGBoost,500,0.1,7,6.0,,,,100,0.98,0.9615384615384616,1.0,0.9803921568627452,0.9984,0.8,0.05,1.0,0.982265339366516
XGBoost,1000,0.1,22,4.0,,,,300,0.99,0.9803921568627452,1.0,0.99009900990099,0.9988,0.8,0.1,0.8,0.990988134342846
XGBoost,1500,0.1,5,4.0,,,,300,1.0,1.0,1.0,1.0,1.0,0.8,0.05,1.0,1.0000000000000002
XGBoost,2000,0.1,19,4.0,,,,100,0.995,0.99009900990099,1.0,0.9950248756218906,0.9993,0.8,0.1,1.0,0.9954572646667651
XGBoost,full,0.1,71,8.0,,,,300,0.995,0.995,0.995,0.995,0.999675,1.0,0.1,1.0,0.9954675
